ticker;shortName;sector;industry;marketCap;regularMarketPrice;averageDailyVolume10Day;exDividendDate;dividendRate;dividendYield;fiveYearAvgDividendYield;fiftyDayAverage;twoHundredDayAverage;trailingPE;forwardPE;pegRatio;trailingEps;forwardEps;priceToBook;profitMargins;beta;market;timestamp
rui.pa;RUBIS;Energy;Oil & Gas Refining & Marketing;2885647616.0;27.78;134442.0;14/06/2024 02:00;1.98;0.0712;6.1;28.1768;26.9667;8.1228075;7.5284553;0.62;3.42;3.69;1.088814;0.05335;1.198;Euronext;1723803420
ad.as;KONINKLIJKE AHOLD DELHAIZE N.V.;Consumer Defensive;Grocery Stores;27879780352.0;29.98;2632529.0;09/08/2024 02:00;1.11;0.0369;3.7;28.8396;27.64685;15.2959175;10.981685;2.44;1.96;2.73;1.8423154;0.020869998;0.226;Euronext;1723803420
s30.pa;SOLUTIONS 30 SE;Technology;Information Technology Services;157640896.0;1.472;374127.0;;;;;1.60266;2.074235;;12.266667;;-0.21;0.12;1.430515;-0.02148;1.652;Euronext;1723803420
caf.pa;CRCAM PARIS ET IDF;Financial Services;Banks—Regional;1657038080.0;59.51;588.0;30/04/2024 02:00;2.93;0.0495;4.32;62.1682;64.05115;7.152644;;;8.32;;0.2137756;0.26143;0.566;Euronext;1723803420
vio.br;VIOHALCO;Industrials;Metal Fabrication;1482566784.0;5.72;2020.0;25/06/2024 02:00;0.12;0.0215;;5.8712;5.753675;30.105263;;;0.19;;0.884217;0.0069700005;1.338;Euronext;1723803420
ca.pa;CARREFOUR;Consumer Defensive;Grocery Stores;9242957824.0;14.01;1467057.0;28/05/2024 02:00;0.87;0.0623;2.98;14.0566;15.6365;11.9743595;6.3681817;0.52;1.17;2.2;0.8876077;0.009649999;0.498;Euronext;1723803420
fore.pa;FORESTIERE EQUATORIALE;Industrials;Railroads;98933104.0;700.0;0.0;25/06/2024 02:00;5.03;0.0072000003;0.87;701.7;672.95;149.25372;;;4.69;;0.006948052;24147.164;0.194;Euronext;1723803420
inphi.as;;Healthcare;Medical Devices;;29.4;;;;;;;;;;;;;2.3109574;-0.02322;0.705;Euronext;1723803420
rf.pa;EURAZEO SE;Financial Services;Asset Management;5009924096.0;69.7;99389.0;14/05/2024 02:00;2.42;0.0347;1.95;73.831;74.9965;2.726917;6.8534904;0.05;25.56;10.17;0.656037;-0.22895999;1.393;Euronext;1723803420
nokia.pa;NOKIA;Technology;Communication Equipment;20206395392.0;3.7005;123654.0;22/07/2024 02:00;0.13;0.0349;;3.53196;3.3423924;21.767647;;;0.17;;0.9722806;0.01905;0.732;Euronext;1723803420
